epoch,accuracy,loss,val_accuracy,val_loss
0,0.20116861164569855,2.473832845687866,0.3840909004211426,1.8919907808303833
1,0.39788535237312317,1.8400379419326782,0.42954546213150024,1.710170030593872
2,0.5200333595275879,1.4879570007324219,0.6000000238418579,1.1878032684326172
3,0.596828043460846,1.226154088973999,0.6454545259475708,0.994471549987793
4,0.6402336955070496,1.094994068145752,0.6727272868156433,0.914560079574585
5,0.6755703687667847,0.978133499622345,0.7227272987365723,0.8433317542076111
6,0.6997774243354797,0.8725246787071228,0.7522727251052856,0.7225415110588074
7,0.7292709946632385,0.7969406247138977,0.7818182110786438,0.6891141533851624
8,0.7512521147727966,0.7196957468986511,0.7772727012634277,0.6316304802894592
9,0.7657206654548645,0.6872024536132812,0.7431818246841431,0.769743025302887
10,0.7707290053367615,0.6499803066253662,0.8090909123420715,0.5315884947776794
11,0.7890929579734802,0.6018221974372864,0.7272727489471436,0.805882453918457
12,0.7932665348052979,0.5827645063400269,0.8295454382896423,0.4823114573955536
13,0.8274902701377869,0.49016115069389343,0.8636363744735718,0.38346239924430847
14,0.818586528301239,0.5267708897590637,0.8409090638160706,0.461987167596817
15,0.8366722464561462,0.47605088353157043,0.7863636612892151,0.6240606904029846
0,0.27323317527770996,2.281773328781128,0.43409091234207153,1.7607330083847046
1,0.4657762944698334,1.6032969951629639,0.5590909123420715,1.387360692024231
2,0.5856983661651611,1.2631094455718994,0.6386363506317139,1.2300183773040771
3,0.6457985639572144,1.0601582527160645,0.6863636374473572,1.0041817426681519
4,0.6944907903671265,0.9529168605804443,0.675000011920929,1.0150684118270874
5,0.7398442029953003,0.7978931069374084,0.7795454263687134,0.6403905153274536
6,0.768224835395813,0.7044508457183838,0.7409090995788574,0.8095413446426392
7,0.7818586826324463,0.6363681554794312,0.8204545378684998,0.5914774537086487
8,0.7985531687736511,0.5979160070419312,0.8272727131843567,0.5656338334083557
9,0.8160823583602905,0.5485444664955139,0.8113636374473572,0.5622913837432861
10,0.821368932723999,0.5304309129714966,0.8477272987365723,0.5069229006767273
11,0.8414023518562317,0.46078526973724365,0.7954545617103577,0.6920709013938904
12,0.8377851843833923,0.4853126108646393,0.8568181991577148,0.49125057458877563
13,0.8391764163970947,0.4553893506526947,0.8386363387107849,0.624718964099884
14,0.858375072479248,0.4076523780822754,0.8340908885002136,0.49127668142318726
