epoch,accuracy,loss,val_accuracy,val_loss
0,0.08190224319696426,3.3449103832244873,0.18539325892925262,2.7401859760284424
1,0.5330250859260559,1.6011979579925537,0.7696629166603088,0.8395484089851379
2,0.7245706915855408,0.8828079700469971,0.7528089880943298,0.8630836606025696
3,0.7800528407096863,0.6562643647193909,0.7865168452262878,0.7500982284545898
4,0.810435950756073,0.5774086117744446,0.8089887499809265,0.6091272830963135
5,0.8566710948944092,0.4656236171722412,0.8876404762268066,0.32856297492980957
6,0.8751651048660278,0.3818548321723938,0.9101123809814453,0.27930912375450134
7,0.8811096549034119,0.3621841371059418,0.8370786309242249,0.49293094873428345
8,0.8989431858062744,0.3158375322818756,0.8876404762268066,0.3354121744632721
9,0.8982827067375183,0.3000716269016266,0.7415730357170105,1.1652830839157104
